Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Houston Rockets,65-17,34-7,31-Oct,24-Jun,41-11,06-Apr,09-Jan,09-Jan,16-Feb,13-May,12-Apr,44-13,21-Apr,05-Mar,38-8,05-Mar,12-Jan,09-May,10-Apr,12-0,14-Jan,03-Mar
2,Toronto Raptors,59-23,34-7,25-16,40-12,19-Nov,12-Apr,14-Apr,14-Apr,05-May,06-Apr,08-Feb,41-16,18-Jul,05-Jul,33-5,04-Feb,09-May,11-Mar,10-May,09-Feb,12-Apr,04-Feb
3,Golden State Warriors,58-24,29-Dec,29-Dec,24-Jun,34-18,09-Jan,06-Apr,09-Jan,08-Oct,13-Mar,13-May,44-14,14-Oct,05-Jan,38-13,05-Mar,11-Mar,13-Feb,11-Mar,08-Mar,07-Jul,03-Mar
4,Boston Celtics,55-27,27-14,28-13,33-19,22-Aug,12-Apr,10-Aug,11-Jul,09-Jan,07-Mar,06-Apr,40-19,15-Aug,11-Aug,25-Sep,05-Feb,14-Feb,11-Jun,07-May,07-Apr,09-Apr,02-Apr
5,Philadelphia 76ers,52-30,30-Nov,22-19,34-18,18-Dec,09-Jul,11-Jul,14-Apr,07-Mar,04-Jun,07-Mar,30-25,22-May,04-Jul,31-11,03-Apr,09-May,05-Oct,07-May,08-Mar,13-Mar,7-0
6,Cleveland Cavaliers,50-32,29-Dec,21-20,35-17,15-15,11-Jul,11-May,13-May,05-May,05-May,05-May,34-22,16-Oct,08-May,17-20,03-Apr,12-Mar,09-May,06-Aug,06-Apr,10-Jun,04-Feb
7,Portland Trail Blazers,49-33,28-13,21-20,18-Dec,31-21,04-Jun,06-Apr,08-Feb,09-Jul,15-Mar,07-Nov,32-26,17-Jul,08-Aug,20-Dec,04-Mar,09-Jun,05-Aug,11-May,06-Apr,12-Mar,02-Apr
8,Indiana Pacers,48-34,27-14,21-20,32-20,16-14,11-Jul,10-Jun,11-Jul,03-Jul,09-Jan,04-Jun,33-25,15-Sep,11-Feb,20-16,04-Mar,08-Jul,07-Aug,10-May,05-Apr,11-Apr,03-Mar
9,New Orleans Pelicans,48-34,24-17,24-17,21-Sep,27-25,06-Apr,09-Jan,06-Apr,06-Dec,12-Jun,09-Jul,31-26,17-Aug,07-Mar,19-16,03-Apr,08-Jun,07-Aug,09-May,08-Mar,08-Jul,05-Jan
10,Oklahoma City Thunder,48-34,27-14,21-20,20-Oct,28-24,06-Apr,07-Mar,07-Mar,05-Nov,12-Jun,11-Jul,33-26,15-Aug,08-Oct,24-Nov,04-Mar,04-Sep,12-May,10-Apr,06-Jun,08-Jun,04-Jan
11,Utah Jazz,48-34,28-13,20-21,14-16,34-18,03-Jul,06-Apr,05-May,07-Sep,15-Mar,12-Jun,30-28,18-Jun,04-May,31-19,04-Mar,07-Aug,05-Oct,06-Jul,09-Feb,12-Mar,05-Jan
12,Minnesota Timberwolves,47-35,30-Nov,17-24,13-17,34-18,04-Jun,04-Jun,05-May,10-Jun,14-Apr,10-Aug,36-25,11-Oct,07-Jul,25-Dec,04-Mar,09-Jun,10-May,09-Aug,06-Apr,06-Jul,03-Feb
13,San Antonio Spurs,47-35,33-8,14-27,18-Dec,29-23,06-Apr,05-May,07-Mar,09-Sep,11-Jul,09-Jul,35-24,12-Nov,08-Oct,25-17,04-Mar,10-Apr,11-May,09-Jul,02-Jul,08-Jun,03-Mar
14,Denver Nuggets,46-36,31-Oct,15-26,18-Dec,28-24,04-Jun,08-Feb,06-Apr,09-Jul,10-Aug,09-Sep,32-26,14-Oct,10-May,21-15,03-Apr,09-May,07-Aug,07-Aug,07-Mar,08-Jul,05-Jan
15,Miami Heat,44-38,26-15,18-23,31-21,13-17,09-Sep,11-Jul,11-May,04-Jun,05-May,04-Jun,30-28,14-Oct,09-Sep,16-13,02-Apr,08-Jul,09-Jun,10-May,03-Jul,09-Jul,03-Feb
16,Milwaukee Bucks,44-38,25-16,19-22,27-25,17-13,11-Jul,06-Oct,10-Aug,05-May,07-Mar,05-May,32-25,Dec-13,07-Apr,14-16,04-Mar,07-Jun,08-Jun,08-Jul,06-Jun,08-Jul,03-Mar
17,Washington Wizards,43-39,23-18,20-21,28-24,15-15,10-Aug,10-Aug,08-Aug,04-Jun,05-May,06-Apr,33-24,Oct-15,05-Jul,22-Dec,04-Feb,07-Aug,10-Jun,07-Jun,08-Apr,06-Aug,01-May
18,Los Angeles Clippers,42-40,22-19,20-21,18-Dec,24-28,06-Apr,06-Apr,06-Apr,Apr-14,12-Apr,08-Oct,30-26,Dec-14,08-Feb,22-19,04-Feb,04-Oct,08-Jul,09-Jun,07-Mar,09-Jul,01-May
19,Detroit Pistons,39-43,25-16,14-27,24-28,15-15,07-Nov,09-Jul,08-Oct,04-Jun,07-Mar,04-Jun,28-29,Nov-14,04-Jul,19-23,05-Mar,09-Mar,06-Sep,03-Nov,06-Jun,07-Aug,03-Mar
20,Charlotte Hornets,36-46,21-20,15-26,22-30,14-16,Apr-14,07-Nov,11-May,04-Jun,07-Mar,03-Jul,24-33,Dec-13,01-May,23-23,04-Mar,04-Sep,05-Nov,08-Jun,07-May,06-Sep,02-Mar
21,Los Angeles Lakers,35-47,20-21,15-26,16-14,19-33,05-May,05-May,06-Apr,Apr-14,06-Oct,09-Sep,23-34,Dec-13,06-Jul,18-21,03-Apr,05-Sep,03-Nov,08-Jul,07-Mar,07-Aug,02-May
22,New York Knicks,29-53,19-22,Oct-31,17-35,Dec-18,06-Oct,Apr-14,07-Nov,04-Jun,05-May,03-Jul,23-36,Jun-17,02-Jul,15-30,03-Mar,08-Jul,07-Aug,05-Nov,01-Sep,03-Dec,02-Mar
23,Brooklyn Nets,28-54,15-26,13-28,19-33,Sep-21,Jan-15,06-Dec,12-Jun,04-Jun,01-Sep,04-Jun,19-40,Sep-14,05-Jul,Sep-27,03-May,05-Aug,05-Oct,06-Oct,01-Sep,05-Sep,03-Mar
24,Chicago Bulls,27-55,17-24,Oct-31,21-31,Jun-24,May-13,04-Dec,12-Jun,02-Aug,0-10,04-Jun,20-37,Jul-18,09-May,Jun-30,01-Apr,Feb-13,10-Jun,05-Oct,02-Aug,05-Oct,02-Apr
25,Sacramento Kings,27-55,14-27,13-28,13-17,14-38,05-May,03-Jul,05-May,Mar-15,05-Nov,06-Dec,18-39,Sep-16,06-May,May-32,01-Jun,05-Sep,06-Sep,04-Oct,02-Sep,06-Oct,03-Feb
26,Orlando Magic,25-57,17-24,Aug-33,15-37,Oct-20,May-13,May-13,05-Nov,02-Aug,03-Jul,05-May,18-39,Jul-18,03-May,Oct-27,05-Feb,04-Nov,03-Dec,03-Oct,03-Aug,04-Oct,03-Apr
27,Atlanta Hawks,24-58,16-25,Aug-33,Dec-40,Dec-18,Apr-14,Mar-15,05-Nov,05-May,02-Aug,05-May,18-41,Jun-17,06-Aug,Aug-35,01-Jun,03-Nov,06-Sep,05-Oct,04-Jul,02-Dec,03-Mar
28,Dallas Mavericks,24-58,15-26,Sep-32,Oct-20,14-38,02-Aug,04-Jun,04-Jun,May-13,Apr-14,05-Nov,18-40,Jun-18,02-Sep,Nov-20,01-Jul,04-Oct,08-Aug,03-Nov,03-Jul,04-Oct,01-May
29,Memphis Grizzlies,22-60,16-25,Jun-35,Apr-26,18-34,02-Aug,01-Sep,01-Sep,May-13,08-Oct,05-Nov,18-38,Apr-22,05-Dec,Aug-26,05-Feb,02-Nov,05-Dec,06-Jul,0-10,Mar-13,01-May
30,Phoenix Suns,21-61,Oct-31,Nov-30,Jun-24,15-37,02-Aug,02-Aug,02-Aug,May-13,04-Dec,06-Dec,18-41,Mar-20,06-May,May-40,03-Apr,05-Nov,06-Sep,04-Oct,01-Oct,0-14,02-Mar
